id,frame,x [nm],y [nm],z [nm],centroid [nm]
1,1,3162.9,11794,-505,670
2,1,7654.8,4375.8,-405,670
3,1,6271.6,8858.8,-405,670
4,1,4102.4,8840.6,-355,670
5,1,5408.8,9976.7,-355,670
6,1,6663.3,3014.7,-345,670
7,1,3630.8,11757,-345,670
8,1,5428.7,943.37,-315,670
9,1,4510.1,670.8,-295,670
10,1,2975.2,2327.5,-295,670
11,1,4970.3,10937,-295,670
12,1,8530.6,5048.6,-285,670
13,1,5267.6,732.5,-275,670
14,1,8098.5,3632.8,-275,670
15,1,3391.7,7695.4,-245,670
16,1,6002.4,1141,-235,670
17,1,6638.6,2233.1,-235,670
18,1,3814,3456.9,-235,670
19,1,6660.3,6496.7,-225,670
20,1,7960.6,9102.2,-225,670
21,1,5717.8,1008.3,-215,670
22,1,1607.1,5310.8,-215,670
23,1,6416.1,3209.4,-205,670
24,1,3763.7,8366.7,-205,670
25,1,4149.1,2925.4,-195,670
26,1,6276.6,4811.3,-195,670
27,1,2473.1,9167.6,-195,670
28,1,2540,10317,-185,670
29,1,3352.1,5350.6,-175,670
30,1,7798.3,6005.6,-175,670
31,1,3963,9593.7,-175,670
32,1,6851.5,9988.9,-165,670
33,1,2484.8,8664.3,-155,670
34,1,3896.5,9874.2,-155,670
35,1,4776,12663,-155,670
36,1,4658.9,2467.1,-145,670
37,1,5309.8,4620.5,-145,670
38,1,5640.2,8460.3,-145,670
39,1,4331.9,5489.7,-135,670
40,1,1455.3,7038,-135,670
41,1,5748.9,9875.5,-125,670
42,1,3739.9,11995,-125,670
43,1,620.52,7455.2,-105,670
44,1,4816.8,2308.2,-95,670
45,1,2943.8,3841.3,-95,670
46,1,4573.1,4478.3,-95,670
47,1,3797.6,9084,-95,670
48,1,6032.6,1516.5,-85,670
49,1,4718.7,1747,-85,670
50,1,8329.9,5206.5,-85,670
51,1,8336.1,5592.8,-85,670
52,1,2360,6236.7,-85,670
53,1,2865.4,9348.2,-85,670
54,1,3911.8,12006,-85,670
55,1,4560.3,6429.5,-75,670
56,1,8198.5,6681.7,-75,670
57,1,8171.1,4089.3,-65,670
58,1,8268.2,7964.6,-65,670
59,1,2039.7,3088.3,-55,670
60,1,5622.8,7892.1,-55,670
61,1,2623.9,2558.9,-45,670
62,1,5933.8,3387.9,-45,670
63,1,6473.3,6935.1,-45,670
64,1,1780,7514.8,-45,670
65,1,6059.3,9327,-45,670
66,1,7636.5,2574,-35,670
67,1,1722.3,4033.1,-35,670
68,1,8229.6,5682.3,-35,670
69,1,2050.2,6097.1,-35,670
70,1,5827.4,11360,-35,670
71,1,3519.5,12105,-35,670
72,1,7294.6,4972.1,-25,670
73,1,1506,8013.8,-25,670
74,1,5089.9,12241,-25,670
75,1,5205.2,1184.5,-15,670
76,1,4529.3,4810,-15,670
77,1,6609.2,6733.4,-15,670
78,1,5164.7,1837.9,-5,670
79,1,3770.5,4624.2,-5,670
80,1,1684.2,5798.7,-5,670
81,1,7678.1,9626.1,-5,670
82,1,1651.4,4799.3,5,670
83,1,5117.7,6026.7,5,670
84,1,5808.6,7387.5,5,670
85,1,4528,12632,5,670
86,1,5365.9,1939.1,15,670
87,1,1423.2,4043.8,15,670
88,1,6968.7,5001.1,15,670
89,1,8548.8,6591.1,15,670
90,1,2433.3,6984.6,15,670
91,1,7938.3,7158.3,15,670
92,1,4965.2,9115.6,15,670
93,1,6518.8,9234.8,15,670
94,1,6082.2,11416,15,670
95,1,4016.5,12106,15,670
96,1,6035.5,12111,15,670
97,1,2998.4,5261.8,25,670
98,1,1391.2,9348.6,25,670
99,1,6742.6,10963,25,670
100,1,7126.8,2141.6,35,670
101,1,4576.8,4247.3,45,670
102,1,8044,6197.3,45,670
103,1,7200.1,8139.9,45,670
104,1,1438.9,7565.4,55,670
105,1,1419.4,8191.2,55,670
106,1,3840.9,1426,65,670
107,1,4208.1,4421,65,670
108,1,8009.1,6537.1,65,670
109,1,7909.7,9441.5,65,670
110,1,3239.8,10157,65,670
111,1,1164,5453.8,75,670
112,1,1526.5,8607.9,75,670
113,1,6954.9,9411.4,75,670
114,1,5639,11430,75,670
115,1,4233,12483,75,670
116,1,5370.3,2698.3,85,670
117,1,3428.3,2911.2,85,670
118,1,6545.5,3541.9,85,670
119,1,7759,4609.1,85,670
120,1,6524.2,3978.6,95,670
121,1,1340.6,7079.1,95,670
122,1,5354.5,12400,95,670
123,1,7319.3,3785.1,105,670
124,1,3378.8,8574.1,105,670
125,1,2587.3,9710.4,105,670
126,1,8047.5,5901.9,115,670
127,1,2222.3,10739,115,670
128,1,3376.7,6998.8,125,670
129,1,2528,7293.3,125,670
130,1,1508.3,9862.8,125,670
131,1,3241.5,2710.2,135,670
132,1,7208.7,3928.3,135,670
133,1,851.2,6972.5,135,670
134,1,3766.2,7075.2,135,670
135,1,7791.2,7710.5,135,670
136,1,7074.1,9372.3,135,670
137,1,6048.1,11938,135,670
138,1,5560,10250,145,670
139,1,2654.7,3217.7,155,670
140,1,7607.1,4076,155,670
141,1,2449.2,11997,165,670
142,1,3669.7,12694,165,670
143,1,5985.5,3269.3,175,670
144,1,1084.1,7387.2,175,670
145,1,4520.2,10492,175,670
146,1,1967.5,5219.2,185,670
147,1,2601.7,5270.9,185,670
148,1,1230.7,7684.9,185,670
149,1,6924.9,4605.5,195,670
150,1,6168.6,9321.1,195,670
151,1,3631.2,12436,195,670
152,1,4483.7,3490.6,205,670
153,1,8497.7,6523.7,205,670
154,1,6521.3,9784.7,205,670
155,1,3876.6,7394.7,215,670
156,1,1255.8,7592,225,670
157,1,5407.1,844.39,235,670
158,1,2341.6,7718.1,235,670
159,1,2794,4573.8,245,670
160,1,2330.5,9741.7,245,670
161,1,6185.6,9827.7,245,670
162,1,6168.2,2022.8,255,670
163,1,5355.9,2387.6,255,670
164,1,4931.2,11752,255,670
165,1,2253.5,4672.8,265,670
166,1,7804.7,8330.3,275,670
167,1,4847.4,2325,295,670
168,1,5160.9,2864.3,295,670
169,1,7636.3,3322.1,295,670
170,1,1805.3,11172,295,670
171,1,5810.3,12767,295,670
172,1,4706.6,2159,315,670
173,1,4375.5,9242,315,670
174,1,6800.6,1859.2,325,670
175,1,6629.5,12140,325,670
176,1,5648.9,4405.7,345,670
177,1,1707,10990,345,670
178,1,2370,3719.8,355,670
179,1,3798.5,7340.2,355,670
180,1,1442.6,5258,365,670
181,1,2231.6,4241.9,375,670
182,1,5908.3,3194.5,385,670
183,1,1519.2,7013.8,385,670
184,1,3003.5,2055.9,415,670
185,1,2190.8,9670.9,415,670
186,1,4408.1,4197.3,425,670
187,1,3277.9,10547,425,670
188,1,1153.6,8546.4,445,670
189,1,2593,11572,465,670
190,1,6971.7,3794.9,475,670
191,1,5533.5,859.72,485,670
192,1,3176.7,11807,-675.15,670
193,1,3185,11787,-387.46,670
194,1,3154.3,11767,-336.43,670
195,1,3126.4,11785,-402.35,670
196,1,3203,11820,-355.53,670
197,1,3142.1,11843,-681.48,670
198,1,3216.9,11787,-250.99,670
199,1,3211.2,11820,-302.35,670
200,1,3225,11796,-391.62,670
201,1,3210.3,11751,-621.55,670
202,1,3124.6,11852,-611.71,670
203,1,3230.1,11804,-373.84,670
204,1,3102.5,11830,-287.31,670
205,1,3168.3,11710,-319.91,670
206,1,3070.9,11771,-141.7,670
207,1,3065.5,11749,-303.84,670
208,1,3212.6,11689,-354.24,670
209,1,3092.3,11888,-649.57,670
210,1,3263.5,11851,-663.13,670
211,1,3201.1,11898,-649.1,670
212,1,3242.5,11883,-345.43,670
213,1,3195.2,11902,-348.18,670
214,1,3127.2,11918,-384.08,670
215,1,3047.8,11756,-633.12,670
216,1,3054.8,11734,-382.64,670
217,1,3060.2,11726,-382.19,670
218,1,3048.1,11733,-815.25,670
219,1,3031.8,11775,-164.38,670
220,1,3203.7,11661,-170.89,670
221,1,3093.3,11676,-801.63,670
222,1,3293.1,11816,-172.8,670
223,1,3067.8,11701,-168.08,670
224,1,3208.1,11670,-188.76,670
225,1,3042.1,11843,-202.5,670
226,1,3245.7,11904,-833.47,670
227,1,3210.5,11924,-836.07,670
228,1,3209.9,11918,-164.76,670
229,1,3066.4,11695,-845.41,670
230,1,3049,11858,-165.3,670
